pH,Antibiotic,Concentration,Timepoint,OD,DateExptStarted,Strain,MeasuredpH
Basic,Meropenem,64,48,1.063,Rep1,FLR19,
Basic,Meropenem,64,48,1.0792,Rep1,FLR19,
Basic,Meropenem,64,48,1.1182,Rep1,FLR19,
Basic,Meropenem,128,0,0.142,Rep1,FLR19,
Basic,Meropenem,128,0,0.1488,Rep1,FLR19,
Basic,Meropenem,128,0,0.143,Rep1,FLR19,
Basic,Meropenem,128,24,0.3199,Rep1,FLR19,
Basic,Meropenem,128,24,0.3115,Rep1,FLR19,
Basic,Meropenem,128,24,0.3003,Rep1,FLR19,
Basic,Meropenem,128,48,1.1034,Rep1,FLR19,
Basic,Meropenem,128,48,1.0773,Rep1,FLR19,
Basic,Meropenem,128,48,1.1003,Rep1,FLR19,
Basic,Meropenem,256,0,0.1444,Rep1,FLR19,
Basic,Meropenem,256,0,0.1448,Rep1,FLR19,
Basic,Meropenem,256,0,0.1417,Rep1,FLR19,
Basic,Meropenem,256,24,0.3503,Rep1,FLR19,
Basic,Meropenem,256,24,0.3572,Rep1,FLR19,
Basic,Meropenem,256,24,0.3448,Rep1,FLR19,
Basic,Meropenem,256,48,0.8455,Rep1,FLR19,
Basic,Meropenem,256,48,0.7091,Rep1,FLR19,
Basic,Meropenem,256,48,0.8393,Rep1,FLR19,
Basic,Meropenem,0,0,0.1531,Rep2,FLR19,
Basic,Meropenem,0,0,0.1527,Rep2,FLR19,
Basic,Meropenem,0,0,0.154,Rep2,FLR19,
Basic,Meropenem,0,24,0.5266,Rep2,FLR19,
Basic,Meropenem,0,24,0.5409,Rep2,FLR19,
Basic,Meropenem,0,24,0.5535,Rep2,FLR19,
Basic,Meropenem,0,48,1.0944,Rep2,FLR19,
Basic,Meropenem,0,48,1.0285,Rep2,FLR19,
Basic,Meropenem,0,48,1.1371,Rep2,FLR19,
Basic,Meropenem,64,0,0.1587,Rep2,FLR19,
Basic,Meropenem,64,0,0.1606,Rep2,FLR19,
Basic,Meropenem,64,0,0.1596,Rep2,FLR19,
Basic,Meropenem,64,24,0.3004,Rep2,FLR19,
Basic,Meropenem,64,24,0.3278,Rep2,FLR19,
Basic,Meropenem,64,24,0.3303,Rep2,FLR19,
Basic,Meropenem,64,48,0.5325,Rep2,FLR19,
Basic,Meropenem,64,48,0.5491,Rep2,FLR19,
Basic,Meropenem,64,48,0.5832,Rep2,FLR19,
Basic,Meropenem,128,0,0.1548,Rep2,FLR19,
Basic,Meropenem,128,0,0.1563,Rep2,FLR19,
Basic,Meropenem,128,0,0.1613,Rep2,FLR19,
Basic,Meropenem,128,24,0.2774,Rep2,FLR19,
Basic,Meropenem,128,24,0.2901,Rep2,FLR19,
Basic,Meropenem,128,24,0.2831,Rep2,FLR19,
Basic,Meropenem,128,48,0.5296,Rep2,FLR19,
Basic,Meropenem,128,48,0.56,Rep2,FLR19,
Basic,Meropenem,128,48,0.5713,Rep2,FLR19,
Basic,Meropenem,256,0,0.1561,Rep2,FLR19,
Basic,Meropenem,256,0,0.1554,Rep2,FLR19,
Basic,Meropenem,256,0,0.1661,Rep2,FLR19,
Basic,Meropenem,256,24,0.3986,Rep2,FLR19,
Basic,Meropenem,256,24,0.3909,Rep2,FLR19,
Basic,Meropenem,256,24,0.4021,Rep2,FLR19,
Basic,Meropenem,256,48,0.7101,Rep2,FLR19,
Basic,Meropenem,256,48,0.7241,Rep2,FLR19,
Basic,Meropenem,256,48,0.7151,Rep2,FLR19,
Acidic,Tobramycin,0,0,0.1597,Rep1,FLR19,
Acidic,Tobramycin,0,0,0.1512,Rep1,FLR19,
Acidic,Tobramycin,0,0,0.1527,Rep1,FLR19,
Acidic,Tobramycin,0,24,0.6062,Rep1,FLR19,
Acidic,Tobramycin,0,24,0.5908,Rep1,FLR19,
Acidic,Tobramycin,0,24,0.5751,Rep1,FLR19,
Acidic,Tobramycin,0,48,1.2958,Rep1,FLR19,
Acidic,Tobramycin,0,48,1.2691,Rep1,FLR19,
Acidic,Tobramycin,0,48,1.3183,Rep1,FLR19,
Acidic,Tobramycin,16,0,0.1499,Rep1,FLR19,
Acidic,Tobramycin,16,0,0.1544,Rep1,FLR19,
Acidic,Tobramycin,16,0,0.1487,Rep1,FLR19,
Acidic,Tobramycin,16,24,0.4847,Rep1,FLR19,
Acidic,Tobramycin,16,24,0.48,Rep1,FLR19,
Acidic,Tobramycin,16,24,0.4643,Rep1,FLR19,
Acidic,Tobramycin,16,48,1.252,Rep1,FLR19,
Acidic,Tobramycin,16,48,1.2377,Rep1,FLR19,
Acidic,Tobramycin,16,48,1.2775,Rep1,FLR19,
Acidic,Tobramycin,32,0,0.1902,Rep1,FLR19,
Acidic,Tobramycin,32,0,0.1494,Rep1,FLR19,
Acidic,Tobramycin,32,0,0.1525,Rep1,FLR19,
Acidic,Tobramycin,32,24,0.4793,Rep1,FLR19,
Acidic,Tobramycin,32,24,0.4539,Rep1,FLR19,
Acidic,Tobramycin,32,24,0.484,Rep1,FLR19,
Acidic,Tobramycin,32,48,1.2262,Rep1,FLR19,
Acidic,Tobramycin,32,48,1.2385,Rep1,FLR19,
Acidic,Tobramycin,32,48,1.2199,Rep1,FLR19,
Acidic,Tobramycin,64,0,0.1458,Rep1,FLR19,
Acidic,Tobramycin,64,0,0.1451,Rep1,FLR19,
Acidic,Tobramycin,64,0,0.1497,Rep1,FLR19,
Acidic,Tobramycin,64,24,0.4317,Rep1,FLR19,
Acidic,Tobramycin,64,24,0.4389,Rep1,FLR19,
Acidic,Tobramycin,64,24,0.4376,Rep1,FLR19,
Acidic,Tobramycin,64,48,1.2011,Rep1,FLR19,
Acidic,Tobramycin,64,48,1.2096,Rep1,FLR19,
Acidic,Tobramycin,64,48,1.2523,Rep1,FLR19,
Neutral,Tobramycin,0,0,0.1416,Rep1,FLR19,
Neutral,Tobramycin,0,0,0.1398,Rep1,FLR19,
Neutral,Tobramycin,0,0,0.1448,Rep1,FLR19,
Neutral,Tobramycin,0,24,0.6396,Rep1,FLR19,
Neutral,Tobramycin,0,24,0.6608,Rep1,FLR19,
Neutral,Tobramycin,0,24,0.6539,Rep1,FLR19,
Neutral,Tobramycin,0,48,1.2516,Rep1,FLR19,
Neutral,Tobramycin,0,48,1.2371,Rep1,FLR19,
Neutral,Tobramycin,0,48,1.2474,Rep1,FLR19,
Neutral,Tobramycin,16,0,0.1399,Rep1,FLR19,
Neutral,Tobramycin,16,0,0.1415,Rep1,FLR19,
Neutral,Tobramycin,16,0,0.1411,Rep1,FLR19,
Neutral,Tobramycin,16,24,0.6303,Rep1,FLR19,
Neutral,Tobramycin,16,24,0.6164,Rep1,FLR19,
Neutral,Tobramycin,16,24,0.6234,Rep1,FLR19,
Neutral,Tobramycin,16,48,1.3137,Rep1,FLR19,
Neutral,Tobramycin,16,48,1.3186,Rep1,FLR19,
Neutral,Tobramycin,16,48,1.3069,Rep1,FLR19,
Neutral,Tobramycin,32,0,0.1407,Rep1,FLR19,
Neutral,Tobramycin,32,0,0.1462,Rep1,FLR19,
Neutral,Tobramycin,32,0,0.1403,Rep1,FLR19,
Neutral,Tobramycin,32,24,0.6143,Rep1,FLR19,
Neutral,Tobramycin,32,24,0.6251,Rep1,FLR19,
Neutral,Tobramycin,32,24,0.6026,Rep1,FLR19,
Neutral,Tobramycin,32,48,1.3139,Rep1,FLR19,
Neutral,Tobramycin,32,48,1.3122,Rep1,FLR19,
Neutral,Tobramycin,32,48,1.3229,Rep1,FLR19,
Neutral,Tobramycin,64,0,0.1342,Rep1,FLR19,
Neutral,Tobramycin,64,0,0.1362,Rep1,FLR19,
Neutral,Tobramycin,64,0,0.1356,Rep1,FLR19,
Neutral,Tobramycin,64,24,0.5641,Rep1,FLR19,
Neutral,Tobramycin,64,24,0.5651,Rep1,FLR19,
Neutral,Tobramycin,64,24,0.5642,Rep1,FLR19,
Neutral,Tobramycin,64,48,1.3212,Rep1,FLR19,
Neutral,Tobramycin,64,48,1.2737,Rep1,FLR19,
Neutral,Tobramycin,64,48,1.2959,Rep1,FLR19,
Basic,Tobramycin,0,0,0.1432,Rep1,FLR19,
Basic,Tobramycin,0,0,0.1477,Rep1,FLR19,
Basic,Tobramycin,0,0,0.1501,Rep1,FLR19,
Basic,Tobramycin,0,24,0.6097,Rep1,FLR19,
Basic,Tobramycin,0,24,0.5986,Rep1,FLR19,
Basic,Tobramycin,0,24,0.6012,Rep1,FLR19,
Basic,Tobramycin,0,48,1.2109,Rep1,FLR19,
Basic,Tobramycin,0,48,1.1343,Rep1,FLR19,
Basic,Tobramycin,0,48,1.1544,Rep1,FLR19,
Basic,Tobramycin,16,0,0.1539,Rep1,FLR19,
Basic,Tobramycin,16,0,0.1463,Rep1,FLR19,
Basic,Tobramycin,16,0,0.1476,Rep1,FLR19,
Basic,Tobramycin,16,24,0.5963,Rep1,FLR19,
Basic,Tobramycin,16,24,0.5925,Rep1,FLR19,
Basic,Tobramycin,16,24,0.5903,Rep1,FLR19,
Basic,Tobramycin,16,48,1.2027,Rep1,FLR19,
Basic,Tobramycin,16,48,1.1635,Rep1,FLR19,
Basic,Tobramycin,16,48,1.164,Rep1,FLR19,
Basic,Tobramycin,32,0,0.1515,Rep1,FLR19,
Basic,Tobramycin,32,0,0.145,Rep1,FLR19,
Basic,Tobramycin,32,0,0.1452,Rep1,FLR19,
Basic,Tobramycin,32,24,0.5625,Rep1,FLR19,
Basic,Tobramycin,32,24,0.5542,Rep1,FLR19,
Basic,Tobramycin,32,24,0.558,Rep1,FLR19,
Basic,Tobramycin,32,48,1.1788,Rep1,FLR19,
Basic,Tobramycin,32,48,1.1869,Rep1,FLR19,
Basic,Tobramycin,32,48,1.2146,Rep1,FLR19,
Basic,Tobramycin,64,0,0.1717,Rep1,FLR19,
Basic,Tobramycin,64,0,0.1444,Rep1,FLR19,
Basic,Tobramycin,64,0,0.1465,Rep1,FLR19,
Basic,Tobramycin,64,24,0.565,Rep1,FLR19,
Basic,Tobramycin,64,24,0.5626,Rep1,FLR19,
Basic,Tobramycin,64,24,0.571,Rep1,FLR19,
Basic,Tobramycin,64,48,1.2154,Rep1,FLR19,
Basic,Tobramycin,64,48,1.2609,Rep1,FLR19,
Basic,Tobramycin,64,48,1.2651,Rep1,FLR19,
Acidic,Tobramycin,0,0,0.1566,Rep2,FLR19,
Acidic,Tobramycin,0,0,0.1584,Rep2,FLR19,
Acidic,Tobramycin,0,0,0.1656,Rep2,FLR19,
Acidic,Tobramycin,0,24,0.4407,Rep2,FLR19,
Acidic,Tobramycin,0,24,0.4263,Rep2,FLR19,
Acidic,Tobramycin,0,24,0.4261,Rep2,FLR19,
Acidic,Tobramycin,0,48,1.1032,Rep2,FLR19,
Acidic,Tobramycin,0,48,1.0765,Rep2,FLR19,
Acidic,Tobramycin,0,48,1.0419,Rep2,FLR19,
Acidic,Tobramycin,16,0,0.1578,Rep2,FLR19,
Acidic,Tobramycin,16,0,0.1602,Rep2,FLR19,
Acidic,Tobramycin,16,0,0.1594,Rep2,FLR19,
Acidic,Tobramycin,16,24,0.3694,Rep2,FLR19,
Acidic,Tobramycin,16,24,0.3747,Rep2,FLR19,
Acidic,Tobramycin,16,24,0.3525,Rep2,FLR19,
Acidic,Tobramycin,16,48,0.864,Rep2,FLR19,
Acidic,Tobramycin,16,48,0.8719,Rep2,FLR19,
Acidic,Tobramycin,16,48,0.8795,Rep2,FLR19,
Acidic,Tobramycin,32,0,0.1562,Rep2,FLR19,
Acidic,Tobramycin,32,0,0.157,Rep2,FLR19,
Acidic,Tobramycin,32,0,0.1576,Rep2,FLR19,
Acidic,Tobramycin,32,24,0.3102,Rep2,FLR19,
Acidic,Tobramycin,32,24,0.3714,Rep2,FLR19,
Acidic,Tobramycin,32,24,0.3352,Rep2,FLR19,
Acidic,Tobramycin,32,48,1.045,Rep2,FLR19,
Acidic,Tobramycin,32,48,1.1026,Rep2,FLR19,
Acidic,Tobramycin,32,48,0.8511,Rep2,FLR19,
Acidic,Tobramycin,64,0,0.1586,Rep2,FLR19,
Acidic,Tobramycin,64,0,0.1599,Rep2,FLR19,
Acidic,Tobramycin,64,0,0.1639,Rep2,FLR19,
Acidic,Tobramycin,64,24,0.3227,Rep2,FLR19,
Acidic,Tobramycin,64,24,0.3528,Rep2,FLR19,
Acidic,Tobramycin,64,24,0.338,Rep2,FLR19,
Acidic,Tobramycin,64,48,0.8053,Rep2,FLR19,
Acidic,Tobramycin,64,48,0.8092,Rep2,FLR19,
Acidic,Tobramycin,64,48,0.8932,Rep2,FLR19,
Neutral,Tobramycin,0,0,0.1761,Rep2,FLR19,
Neutral,Tobramycin,0,0,0.1699,Rep2,FLR19,
Neutral,Tobramycin,0,0,0.1705,Rep2,FLR19,
Neutral,Tobramycin,0,24,0.4739,Rep2,FLR19,
Neutral,Tobramycin,0,24,0.5084,Rep2,FLR19,
Neutral,Tobramycin,0,24,0.4937,Rep2,FLR19,
Neutral,Tobramycin,0,48,0.6471,Rep2,FLR19,
Neutral,Tobramycin,0,48,0.8145,Rep2,FLR19,
Neutral,Tobramycin,0,48,0.6796,Rep2,FLR19,
Neutral,Tobramycin,16,0,0.1802,Rep2,FLR19,
Neutral,Tobramycin,16,0,0.1687,Rep2,FLR19,
Neutral,Tobramycin,16,0,0.1691,Rep2,FLR19,
Neutral,Tobramycin,16,24,0.4795,Rep2,FLR19,
Neutral,Tobramycin,16,24,0.5082,Rep2,FLR19,
Neutral,Tobramycin,16,24,0.4917,Rep2,FLR19,
Neutral,Tobramycin,16,48,0.7039,Rep2,FLR19,
Neutral,Tobramycin,16,48,0.6804,Rep2,FLR19,
Neutral,Tobramycin,16,48,0.7106,Rep2,FLR19,
Neutral,Tobramycin,32,0,0.1718,Rep2,FLR19,
Neutral,Tobramycin,32,0,0.1705,Rep2,FLR19,
Neutral,Tobramycin,32,0,0.1684,Rep2,FLR19,
Neutral,Tobramycin,32,24,0.4721,Rep2,FLR19,
Neutral,Tobramycin,32,24,0.4886,Rep2,FLR19,
Neutral,Tobramycin,32,24,0.4965,Rep2,FLR19,
Neutral,Tobramycin,32,48,0.7009,Rep2,FLR19,
Neutral,Tobramycin,32,48,0.7528,Rep2,FLR19,
Neutral,Tobramycin,32,48,0.6982,Rep2,FLR19,
Neutral,Tobramycin,64,0,0.1802,Rep2,FLR19,
Neutral,Tobramycin,64,0,0.1684,Rep2,FLR19,
Neutral,Tobramycin,64,0,0.1679,Rep2,FLR19,
Neutral,Tobramycin,64,24,0.4602,Rep2,FLR19,
Neutral,Tobramycin,64,24,0.4816,Rep2,FLR19,
Neutral,Tobramycin,64,24,0.4899,Rep2,FLR19,
Neutral,Tobramycin,64,48,0.7273,Rep2,FLR19,
Neutral,Tobramycin,64,48,0.7219,Rep2,FLR19,
Neutral,Tobramycin,64,48,0.6826,Rep2,FLR19,
Basic,Tobramycin,0,0,0.1714,Rep2,FLR19,
Basic,Tobramycin,0,0,0.1683,Rep2,FLR19,
Basic,Tobramycin,0,0,0.1709,Rep2,FLR19,
Basic,Tobramycin,0,24,0.4568,Rep2,FLR19,
Basic,Tobramycin,0,24,0.4681,Rep2,FLR19,
Basic,Tobramycin,0,24,0.4939,Rep2,FLR19,
Basic,Tobramycin,0,48,0.5638,Rep2,FLR19,
Basic,Tobramycin,0,48,0.5971,Rep2,FLR19,
Basic,Tobramycin,0,48,0.6267,Rep2,FLR19,
Basic,Tobramycin,16,0,0.1708,Rep2,FLR19,
Basic,Tobramycin,16,0,0.1705,Rep2,FLR19,
Basic,Tobramycin,16,0,0.1664,Rep2,FLR19,
Basic,Tobramycin,16,24,0.4459,Rep2,FLR19,
Basic,Tobramycin,16,24,0.4436,Rep2,FLR19,
Basic,Tobramycin,16,24,0.4434,Rep2,FLR19,
Basic,Tobramycin,16,48,0.5942,Rep2,FLR19,
Basic,Tobramycin,16,48,0.6016,Rep2,FLR19,
Basic,Tobramycin,16,48,0.6091,Rep2,FLR19,
Basic,Tobramycin,32,0,0.162,Rep2,FLR19,
Basic,Tobramycin,32,0,0.166,Rep2,FLR19,
Basic,Tobramycin,32,0,0.1695,Rep2,FLR19,
Basic,Tobramycin,32,24,0.4833,Rep2,FLR19,
Basic,Tobramycin,32,24,0.4459,Rep2,FLR19,
Basic,Tobramycin,32,24,0.4444,Rep2,FLR19,
Basic,Tobramycin,32,48,0.6629,Rep2,FLR19,
Basic,Tobramycin,32,48,0.6014,Rep2,FLR19,
Basic,Tobramycin,32,48,0.7216,Rep2,FLR19,
Basic,Tobramycin,64,0,0.1787,Rep2,FLR19,
Basic,Tobramycin,64,0,0.1714,Rep2,FLR19,
Basic,Tobramycin,64,0,0.1714,Rep2,FLR19,
Basic,Tobramycin,64,24,0.5114,Rep2,FLR19,
Basic,Tobramycin,64,24,0.527,Rep2,FLR19,
Basic,Tobramycin,64,24,0.5198,Rep2,FLR19,
Basic,Tobramycin,64,48,0.8343,Rep2,FLR19,
Basic,Tobramycin,64,48,0.8522,Rep2,FLR19,
Basic,Tobramycin,64,48,0.874,Rep2,FLR19,
