pH,Antibiotic,Concentration,Timepoint,OD,DateExptStarted,Strain,Measured pH
Neutral,Gentamicin,0,48,1.548,Rep1,ZC2006,
Neutral,Gentamicin,200,48,1.499,Rep1,ZC2006,
Neutral,Gentamicin,200,48,1.488,Rep1,ZC2006,
Neutral,Gentamicin,200,48,1.49,Rep1,ZC2006,
Neutral,Gentamicin,400,48,1.464,Rep1,ZC2006,
Neutral,Gentamicin,400,48,1.49,Rep1,ZC2006,
Neutral,Gentamicin,400,48,1.452,Rep1,ZC2006,
Neutral,Gentamicin,800,48,1.442,Rep1,ZC2006,
Neutral,Gentamicin,800,48,1.429,Rep1,ZC2006,
Neutral,Gentamicin,800,48,1.426,Rep1,ZC2006,
Basic,Gentamicin,0,48,1.446,Rep1,ZC2006,
Basic,Gentamicin,0,48,1.445,Rep1,ZC2006,
Basic,Gentamicin,0,48,1.436,Rep1,ZC2006,
Basic,Gentamicin,200,48,1.407,Rep1,ZC2006,
Basic,Gentamicin,200,48,1.395,Rep1,ZC2006,
Basic,Gentamicin,200,48,1.371,Rep1,ZC2006,
Basic,Gentamicin,400,48,1.374,Rep1,ZC2006,
Basic,Gentamicin,400,48,1.399,Rep1,ZC2006,
Basic,Gentamicin,400,48,1.323,Rep1,ZC2006,
Basic,Gentamicin,800,48,1.306,Rep1,ZC2006,
Basic,Gentamicin,800,48,1.327,Rep1,ZC2006,
Basic,Gentamicin,800,48,1.308,Rep1,ZC2006,
Acidic,Gentamicin,0,24,0.652,Rep2,ZC2006,
Acidic,Gentamicin,0,24,0.681,Rep2,ZC2006,
Acidic,Gentamicin,0,24,0.8,Rep2,ZC2006,
Acidic,Gentamicin,200,24,0.453,Rep2,ZC2006,
Acidic,Gentamicin,200,24,0.766,Rep2,ZC2006,
Acidic,Gentamicin,200,24,0.757,Rep2,ZC2006,
Acidic,Gentamicin,400,24,0.402,Rep2,ZC2006,
Acidic,Gentamicin,400,24,0.729,Rep2,ZC2006,
Acidic,Gentamicin,400,24,0.472,Rep2,ZC2006,
Acidic,Gentamicin,800,24,0.344,Rep2,ZC2006,
Acidic,Gentamicin,800,24,0.377,Rep2,ZC2006,
Acidic,Gentamicin,800,24,0.391,Rep2,ZC2006,
Neutral,Gentamicin,0,24,1.061,Rep2,ZC2006,
Neutral,Gentamicin,0,24,1.063,Rep2,ZC2006,
Neutral,Gentamicin,0,24,1.049,Rep2,ZC2006,
Neutral,Gentamicin,200,24,1.054,Rep2,ZC2006,
Neutral,Gentamicin,200,24,1.05,Rep2,ZC2006,
Neutral,Gentamicin,200,24,1.041,Rep2,ZC2006,
Neutral,Gentamicin,400,24,1.023,Rep2,ZC2006,
Neutral,Gentamicin,400,24,1.032,Rep2,ZC2006,
Neutral,Gentamicin,400,24,1.028,Rep2,ZC2006,
Neutral,Gentamicin,800,24,1.034,Rep2,ZC2006,
Neutral,Gentamicin,800,24,1.022,Rep2,ZC2006,
Neutral,Gentamicin,800,24,1.013,Rep2,ZC2006,
Basic,Gentamicin,0,24,1.01,Rep2,ZC2006,
Basic,Gentamicin,0,24,1.016,Rep2,ZC2006,
Basic,Gentamicin,0,24,0.999,Rep2,ZC2006,
Basic,Gentamicin,200,24,0.948,Rep2,ZC2006,
Basic,Gentamicin,200,24,0.958,Rep2,ZC2006,
Basic,Gentamicin,200,24,0.943,Rep2,ZC2006,
Basic,Gentamicin,400,24,0.895,Rep2,ZC2006,
Basic,Gentamicin,400,24,0.902,Rep2,ZC2006,
Basic,Gentamicin,400,24,0.898,Rep2,ZC2006,
Basic,Gentamicin,800,24,0.806,Rep2,ZC2006,
Basic,Gentamicin,800,24,0.807,Rep2,ZC2006,
Basic,Gentamicin,800,24,0.787,Rep2,ZC2006,
Acidic,Gentamicin,0,24,0.915,Rep1,ZC2006,
Acidic,Gentamicin,0,24,0.865,Rep1,ZC2006,
Acidic,Gentamicin,0,24,0.883,Rep1,ZC2006,
Acidic,Gentamicin,200,24,0.897,Rep1,ZC2006,
Acidic,Gentamicin,200,24,0.911,Rep1,ZC2006,
Acidic,Gentamicin,200,24,0.875,Rep1,ZC2006,
Acidic,Gentamicin,400,24,0.847,Rep1,ZC2006,
Acidic,Gentamicin,400,24,0.837,Rep1,ZC2006,
Acidic,Gentamicin,400,24,0.827,Rep1,ZC2006,
Acidic,Gentamicin,800,24,0.738,Rep1,ZC2006,
Acidic,Gentamicin,800,24,0.77,Rep1,ZC2006,
Acidic,Gentamicin,800,24,0.769,Rep1,ZC2006,
Neutral,Gentamicin,0,24,1.218,Rep1,ZC2006,
Neutral,Gentamicin,0,24,1.194,Rep1,ZC2006,
Neutral,Gentamicin,0,24,1.191,Rep1,ZC2006,
Neutral,Gentamicin,200,24,1.174,Rep1,ZC2006,
Neutral,Gentamicin,200,24,1.167,Rep1,ZC2006,
Neutral,Gentamicin,200,24,1.149,Rep1,ZC2006,
Neutral,Gentamicin,400,24,1.143,Rep1,ZC2006,
Neutral,Gentamicin,400,24,1.148,Rep1,ZC2006,
Neutral,Gentamicin,400,24,1.144,Rep1,ZC2006,
Neutral,Gentamicin,800,24,1.144,Rep1,ZC2006,
Neutral,Gentamicin,800,24,1.121,Rep1,ZC2006,
Neutral,Gentamicin,800,24,1.131,Rep1,ZC2006,
Basic,Gentamicin,0,24,1.093,Rep1,ZC2006,
Basic,Gentamicin,0,24,1.083,Rep1,ZC2006,
Basic,Gentamicin,0,24,1.081,Rep1,ZC2006,
Basic,Gentamicin,200,24,1.057,Rep1,ZC2006,
Basic,Gentamicin,200,24,1.023,Rep1,ZC2006,
Basic,Gentamicin,200,24,1.027,Rep1,ZC2006,
Basic,Gentamicin,400,24,1.036,Rep1,ZC2006,
Basic,Gentamicin,400,24,1.052,Rep1,ZC2006,
Basic,Gentamicin,400,24,1.003,Rep1,ZC2006,
Basic,Gentamicin,800,24,0.961,Rep1,ZC2006,
Basic,Gentamicin,800,24,0.93,Rep1,ZC2006,
Basic,Gentamicin,800,24,0.955,Rep1,ZC2006,
Acidic,Gentamicin,0,0,0.127,Rep2,ZC2006,
Acidic,Gentamicin,0,0,0.122,Rep2,ZC2006,
Acidic,Gentamicin,0,0,0.123,Rep2,ZC2006,
Acidic,Gentamicin,200,0,0.131,Rep2,ZC2006,
Acidic,Gentamicin,200,0,0.133,Rep2,ZC2006,
Acidic,Gentamicin,200,0,0.132,Rep2,ZC2006,
Acidic,Gentamicin,400,0,0.124,Rep2,ZC2006,
Acidic,Gentamicin,400,0,0.118,Rep2,ZC2006,
Acidic,Gentamicin,400,0,0.122,Rep2,ZC2006,
Acidic,Gentamicin,800,0,0.125,Rep2,ZC2006,
Acidic,Gentamicin,800,0,0.119,Rep2,ZC2006,
Acidic,Gentamicin,800,0,0.12,Rep2,ZC2006,
Neutral,Gentamicin,0,0,0.132,Rep2,ZC2006,
Neutral,Gentamicin,0,0,0.131,Rep2,ZC2006,
Neutral,Gentamicin,0,0,0.136,Rep2,ZC2006,
Neutral,Gentamicin,200,0,0.131,Rep2,ZC2006,
Neutral,Gentamicin,200,0,0.131,Rep2,ZC2006,
Neutral,Gentamicin,200,0,0.134,Rep2,ZC2006,
Neutral,Gentamicin,400,0,0.131,Rep2,ZC2006,
Neutral,Gentamicin,400,0,0.132,Rep2,ZC2006,
Neutral,Gentamicin,400,0,0.133,Rep2,ZC2006,
Neutral,Gentamicin,800,0,0.134,Rep2,ZC2006,
Neutral,Gentamicin,800,0,0.13,Rep2,ZC2006,
Neutral,Gentamicin,800,0,0.132,Rep2,ZC2006,
Basic,Gentamicin,0,0,0.141,Rep2,ZC2006,
Basic,Gentamicin,0,0,0.138,Rep2,ZC2006,
Basic,Gentamicin,0,0,0.136,Rep2,ZC2006,
Basic,Gentamicin,200,0,0.135,Rep2,ZC2006,
Basic,Gentamicin,200,0,0.137,Rep2,ZC2006,
Basic,Gentamicin,200,0,0.137,Rep2,ZC2006,
Basic,Gentamicin,400,0,0.136,Rep2,ZC2006,
Basic,Gentamicin,400,0,0.138,Rep2,ZC2006,
Basic,Gentamicin,400,0,0.141,Rep2,ZC2006,
Basic,Gentamicin,800,0,0.132,Rep2,ZC2006,
Basic,Gentamicin,800,0,0.137,Rep2,ZC2006,
Basic,Gentamicin,800,0,0.138,Rep2,ZC2006,
Acidic,Gentamicin,0,0,0.15,Rep1,ZC2006,
Acidic,Gentamicin,0,0,0.149,Rep1,ZC2006,
Acidic,Gentamicin,0,0,0.152,Rep1,ZC2006,
Acidic,Gentamicin,200,0,0.152,Rep1,ZC2006,
Acidic,Gentamicin,200,0,0.15,Rep1,ZC2006,
Acidic,Gentamicin,200,0,0.15,Rep1,ZC2006,
Acidic,Gentamicin,400,0,0.154,Rep1,ZC2006,
Acidic,Gentamicin,400,0,0.149,Rep1,ZC2006,
Acidic,Gentamicin,400,0,0.149,Rep1,ZC2006,
Acidic,Gentamicin,800,0,0.149,Rep1,ZC2006,
Acidic,Gentamicin,800,0,0.15,Rep1,ZC2006,
Acidic,Gentamicin,800,0,0.149,Rep1,ZC2006,
Neutral,Gentamicin,0,0,0.159,Rep1,ZC2006,
Neutral,Gentamicin,0,0,0.163,Rep1,ZC2006,
Neutral,Gentamicin,0,0,0.16,Rep1,ZC2006,
Neutral,Gentamicin,200,0,0.162,Rep1,ZC2006,
Neutral,Gentamicin,200,0,0.163,Rep1,ZC2006,
Neutral,Gentamicin,200,0,0.163,Rep1,ZC2006,
Neutral,Gentamicin,400,0,0.161,Rep1,ZC2006,
Neutral,Gentamicin,400,0,0.162,Rep1,ZC2006,
Neutral,Gentamicin,400,0,0.162,Rep1,ZC2006,
Neutral,Gentamicin,800,0,0.164,Rep1,ZC2006,
Neutral,Gentamicin,800,0,0.162,Rep1,ZC2006,
Neutral,Gentamicin,800,0,0.162,Rep1,ZC2006,
Basic,Gentamicin,0,0,0.158,Rep1,ZC2006,
Basic,Gentamicin,0,0,0.157,Rep1,ZC2006,
Basic,Gentamicin,0,0,0.158,Rep1,ZC2006,
Basic,Gentamicin,200,0,0.158,Rep1,ZC2006,
Basic,Gentamicin,200,0,0.157,Rep1,ZC2006,
Basic,Gentamicin,200,0,0.158,Rep1,ZC2006,
Basic,Gentamicin,400,0,0.158,Rep1,ZC2006,
Basic,Gentamicin,400,0,0.157,Rep1,ZC2006,
Basic,Gentamicin,400,0,0.158,Rep1,ZC2006,
Basic,Gentamicin,800,0,0.161,Rep1,ZC2006,
Basic,Gentamicin,800,0,0.16,Rep1,ZC2006,
Basic,Gentamicin,800,0,0.161,Rep1,ZC2006,
Acidic,Tobramycin,0,48,1.39,Rep2,ZC2005,
Acidic,Tobramycin,0,48,1.382,Rep2,ZC2005,
Acidic,Tobramycin,0,48,1.379,Rep2,ZC2005,
Acidic,Tobramycin,16,48,1.181,Rep2,ZC2005,
Acidic,Tobramycin,16,48,1.19,Rep2,ZC2005,
Acidic,Tobramycin,16,48,1.228,Rep2,ZC2005,
Acidic,Tobramycin,32,48,1.063,Rep2,ZC2005,
Acidic,Tobramycin,32,48,1.105,Rep2,ZC2005,
Acidic,Tobramycin,32,48,1.141,Rep2,ZC2005,
Acidic,Tobramycin,64,48,1.043,Rep2,ZC2005,
Acidic,Tobramycin,64,48,1.003,Rep2,ZC2005,
Acidic,Tobramycin,64,48,1.107,Rep2,ZC2005,
Neutral,Tobramycin,0,48,1.484,Rep2,ZC2005,
Neutral,Tobramycin,0,48,1.475,Rep2,ZC2005,
Neutral,Tobramycin,0,48,1.492,Rep2,ZC2005,
Neutral,Tobramycin,16,48,1.37,Rep2,ZC2005,
Neutral,Tobramycin,16,48,1.455,Rep2,ZC2005,
Neutral,Tobramycin,16,48,1.44,Rep2,ZC2005,
Neutral,Tobramycin,32,48,1.369,Rep2,ZC2005,
Neutral,Tobramycin,32,48,1.393,Rep2,ZC2005,
Neutral,Tobramycin,32,48,1.514,Rep2,ZC2005,
Neutral,Tobramycin,64,48,1.287,Rep2,ZC2005,
Neutral,Tobramycin,64,48,1.323,Rep2,ZC2005,
Neutral,Tobramycin,64,48,1.26,Rep2,ZC2005,
Basic,Tobramycin,0,48,1.446,Rep2,ZC2005,
Basic,Tobramycin,0,48,1.644,Rep2,ZC2005,
Basic,Tobramycin,0,48,1.331,Rep2,ZC2005,
Basic,Tobramycin,16,48,1.019,Rep2,ZC2005,
Basic,Tobramycin,16,48,1.545,Rep2,ZC2005,
Basic,Tobramycin,16,48,1.502,Rep2,ZC2005,
Basic,Tobramycin,32,48,1.361,Rep2,ZC2005,
Basic,Tobramycin,32,48,1.087,Rep2,ZC2005,
Basic,Tobramycin,32,48,0.996,Rep2,ZC2005,
Basic,Tobramycin,64,48,0.743,Rep2,ZC2005,
Basic,Tobramycin,64,48,0.658,Rep2,ZC2005,
Basic,Tobramycin,64,48,0.851,Rep2,ZC2005,
Acidic,Tobramycin,0,48,1.658,Rep1,ZC2005,
Acidic,Tobramycin,0,48,1.671,Rep1,ZC2005,
Acidic,Tobramycin,0,48,1.644,Rep1,ZC2005,
Acidic,Tobramycin,16,48,1.605,Rep1,ZC2005,
Acidic,Tobramycin,16,48,1.625,Rep1,ZC2005,
Acidic,Tobramycin,16,48,1.62,Rep1,ZC2005,
Acidic,Tobramycin,32,48,1.58,Rep1,ZC2005,
Acidic,Tobramycin,32,48,1.575,Rep1,ZC2005,
Acidic,Tobramycin,32,48,1.581,Rep1,ZC2005,
Acidic,Tobramycin,64,48,1.555,Rep1,ZC2005,
Acidic,Tobramycin,64,48,1.563,Rep1,ZC2005,
Acidic,Tobramycin,64,48,1.556,Rep1,ZC2005,
Neutral,Tobramycin,0,48,1.482,Rep1,ZC2005,
Neutral,Tobramycin,0,48,1.537,Rep1,ZC2005,
Neutral,Tobramycin,0,48,1.523,Rep1,ZC2005,
Neutral,Tobramycin,16,48,0.893,Rep1,ZC2005,
Neutral,Tobramycin,16,48,1.443,Rep1,ZC2005,
Neutral,Tobramycin,16,48,0.999,Rep1,ZC2005,
Neutral,Tobramycin,32,48,1.622,Rep1,ZC2005,
Neutral,Tobramycin,32,48,1.648,Rep1,ZC2005,
Neutral,Tobramycin,32,48,1.617,Rep1,ZC2005,
Neutral,Tobramycin,64,48,1.622,Rep1,ZC2005,
Neutral,Tobramycin,64,48,1.612,Rep1,ZC2005,
Neutral,Tobramycin,64,48,1.66,Rep1,ZC2005,
Basic,Tobramycin,0,48,1.478,Rep1,ZC2005,
Basic,Tobramycin,0,48,1.484,Rep1,ZC2005,
Basic,Tobramycin,0,48,1.486,Rep1,ZC2005,
Basic,Tobramycin,16,48,1.484,Rep1,ZC2005,
Basic,Tobramycin,16,48,1.496,Rep1,ZC2005,
Basic,Tobramycin,16,48,1.508,Rep1,ZC2005,
Basic,Tobramycin,32,48,1.477,Rep1,ZC2005,
Basic,Tobramycin,32,48,1.462,Rep1,ZC2005,
Basic,Tobramycin,32,48,0.815,Rep1,ZC2005,
Basic,Tobramycin,64,48,1.5,Rep1,ZC2005,
Basic,Tobramycin,64,48,1.508,Rep1,ZC2005,
Basic,Tobramycin,64,48,1.486,Rep1,ZC2005,
Acidic,Tobramycin,0,24,0.643,Rep2,ZC2005,
Acidic,Tobramycin,0,24,0.641,Rep2,ZC2005,
Acidic,Tobramycin,0,24,0.648,Rep2,ZC2005,
Acidic,Tobramycin,16,24,0.503,Rep2,ZC2005,
Acidic,Tobramycin,16,24,0.488,Rep2,ZC2005,
Acidic,Tobramycin,16,24,0.497,Rep2,ZC2005,
Acidic,Tobramycin,32,24,0.464,Rep2,ZC2005,
Acidic,Tobramycin,32,24,0.476,Rep2,ZC2005,
Acidic,Tobramycin,32,24,0.489,Rep2,ZC2005,
Acidic,Tobramycin,64,24,0.471,Rep2,ZC2005,
Acidic,Tobramycin,64,24,0.454,Rep2,ZC2005,
Acidic,Tobramycin,64,24,0.47,Rep2,ZC2005,
Neutral,Tobramycin,0,24,0.754,Rep2,ZC2005,
Neutral,Tobramycin,0,24,0.8,Rep2,ZC2005,
Neutral,Tobramycin,0,24,0.828,Rep2,ZC2005,
Neutral,Tobramycin,16,24,0.679,Rep2,ZC2005,
Neutral,Tobramycin,16,24,0.666,Rep2,ZC2005,
Neutral,Tobramycin,16,24,0.661,Rep2,ZC2005,
Neutral,Tobramycin,32,24,0.654,Rep2,ZC2005,
Neutral,Tobramycin,32,24,0.656,Rep2,ZC2005,
Neutral,Tobramycin,32,24,0.662,Rep2,ZC2005,
Neutral,Tobramycin,64,24,0.584,Rep2,ZC2005,
Neutral,Tobramycin,64,24,0.587,Rep2,ZC2005,
Neutral,Tobramycin,64,24,0.58,Rep2,ZC2005,
Basic,Tobramycin,0,24,0.86,Rep2,ZC2005,
Basic,Tobramycin,0,24,0.836,Rep2,ZC2005,
Basic,Tobramycin,0,24,0.639,Rep2,ZC2005,
Basic,Tobramycin,16,24,0.719,Rep2,ZC2005,
Basic,Tobramycin,16,24,0.666,Rep2,ZC2005,
Basic,Tobramycin,16,24,0.683,Rep2,ZC2005,
Basic,Tobramycin,32,24,0.605,Rep2,ZC2005,
Basic,Tobramycin,32,24,0.576,Rep2,ZC2005,
Basic,Tobramycin,32,24,0.586,Rep2,ZC2005,
Basic,Tobramycin,64,24,0.562,Rep2,ZC2005,
Basic,Tobramycin,64,24,0.476,Rep2,ZC2005,
Basic,Tobramycin,64,24,0.588,Rep2,ZC2005,
Acidic,Tobramycin,0,24,1.098,Rep1,ZC2005,
Acidic,Tobramycin,0,24,1.128,Rep1,ZC2005,
Acidic,Tobramycin,0,24,1.129,Rep1,ZC2005,
Acidic,Tobramycin,16,24,0.991,Rep1,ZC2005,
Acidic,Tobramycin,16,24,1.04,Rep1,ZC2005,
Acidic,Tobramycin,16,24,1.018,Rep1,ZC2005,
Acidic,Tobramycin,32,24,0.95,Rep1,ZC2005,
Acidic,Tobramycin,32,24,0.943,Rep1,ZC2005,
Acidic,Tobramycin,32,24,0.947,Rep1,ZC2005,
Acidic,Tobramycin,64,24,0.894,Rep1,ZC2005,
Acidic,Tobramycin,64,24,0.919,Rep1,ZC2005,
Acidic,Tobramycin,64,24,0.911,Rep1,ZC2005,
Neutral,Tobramycin,0,24,1.438,Rep1,ZC2005,
Neutral,Tobramycin,0,24,1.447,Rep1,ZC2005,
Neutral,Tobramycin,0,24,1.445,Rep1,ZC2005,
Neutral,Tobramycin,16,24,1.463,Rep1,ZC2005,
Neutral,Tobramycin,16,24,1.459,Rep1,ZC2005,
Neutral,Tobramycin,16,24,1.462,Rep1,ZC2005,
Neutral,Tobramycin,32,24,1.459,Rep1,ZC2005,
Neutral,Tobramycin,32,24,1.455,Rep1,ZC2005,
Neutral,Tobramycin,32,24,1.456,Rep1,ZC2005,
Neutral,Tobramycin,64,24,1.38,Rep1,ZC2005,
Neutral,Tobramycin,64,24,1.356,Rep1,ZC2005,
Neutral,Tobramycin,64,24,1.378,Rep1,ZC2005,
Basic,Tobramycin,0,24,1.452,Rep1,ZC2005,
Basic,Tobramycin,0,24,1.442,Rep1,ZC2005,
Basic,Tobramycin,0,24,1.438,Rep1,ZC2005,
Basic,Tobramycin,16,24,1.477,Rep1,ZC2005,
Basic,Tobramycin,16,24,1.479,Rep1,ZC2005,
Basic,Tobramycin,16,24,1.478,Rep1,ZC2005,
Basic,Tobramycin,32,24,1.464,Rep1,ZC2005,
Basic,Tobramycin,32,24,1.482,Rep1,ZC2005,
Basic,Tobramycin,32,24,1.101,Rep1,ZC2005,
Basic,Tobramycin,64,24,1.511,Rep1,ZC2005,
Basic,Tobramycin,64,24,1.518,Rep1,ZC2005,
Basic,Tobramycin,64,24,1.53,Rep1,ZC2005,
Acidic,Tobramycin,0,0,0.15,Rep2,ZC2005,
Acidic,Tobramycin,0,0,0.148,Rep2,ZC2005,
Acidic,Tobramycin,0,0,0.148,Rep2,ZC2005,
Acidic,Tobramycin,16,0,0.153,Rep2,ZC2005,
Acidic,Tobramycin,16,0,0.149,Rep2,ZC2005,
Acidic,Tobramycin,16,0,0.148,Rep2,ZC2005,
Acidic,Tobramycin,32,0,0.15,Rep2,ZC2005,
Acidic,Tobramycin,32,0,0.15,Rep2,ZC2005,
Acidic,Tobramycin,32,0,0.148,Rep2,ZC2005,
Acidic,Tobramycin,64,0,0.149,Rep2,ZC2005,
Acidic,Tobramycin,64,0,0.148,Rep2,ZC2005,
Acidic,Tobramycin,64,0,0.149,Rep2,ZC2005,
Neutral,Tobramycin,0,0,0.152,Rep2,ZC2005,
Neutral,Tobramycin,0,0,0.154,Rep2,ZC2005,
Neutral,Tobramycin,0,0,0.154,Rep2,ZC2005,
Neutral,Tobramycin,16,0,0.147,Rep2,ZC2005,
Neutral,Tobramycin,16,0,0.154,Rep2,ZC2005,
Neutral,Tobramycin,16,0,0.152,Rep2,ZC2005,
Neutral,Tobramycin,32,0,0.15,Rep2,ZC2005,
Neutral,Tobramycin,32,0,0.156,Rep2,ZC2005,
Neutral,Tobramycin,32,0,0.158,Rep2,ZC2005,
Neutral,Tobramycin,64,0,0.154,Rep2,ZC2005,
Neutral,Tobramycin,64,0,0.154,Rep2,ZC2005,
Neutral,Tobramycin,64,0,0.153,Rep2,ZC2005,
Basic,Tobramycin,0,0,0.15,Rep2,ZC2005,
Basic,Tobramycin,0,0,0.149,Rep2,ZC2005,
Basic,Tobramycin,0,0,0.147,Rep2,ZC2005,
Basic,Tobramycin,16,0,0.154,Rep2,ZC2005,
Basic,Tobramycin,16,0,0.146,Rep2,ZC2005,
Basic,Tobramycin,16,0,0.147,Rep2,ZC2005,
Basic,Tobramycin,32,0,0.15,Rep2,ZC2005,
Basic,Tobramycin,32,0,0.148,Rep2,ZC2005,
Basic,Tobramycin,32,0,0.15,Rep2,ZC2005,
Basic,Tobramycin,64,0,0.149,Rep2,ZC2005,
Basic,Tobramycin,64,0,0.139,Rep2,ZC2005,
Basic,Tobramycin,64,0,0.15,Rep2,ZC2005,
Acidic,Tobramycin,0,0,0.156,Rep1,ZC2005,
Acidic,Tobramycin,0,0,0.156,Rep1,ZC2005,
Acidic,Tobramycin,0,0,0.154,Rep1,ZC2005,
Acidic,Tobramycin,16,0,0.156,Rep1,ZC2005,
Acidic,Tobramycin,16,0,0.157,Rep1,ZC2005,
Acidic,Tobramycin,16,0,0.158,Rep1,ZC2005,
Acidic,Tobramycin,32,0,0.157,Rep1,ZC2005,
Acidic,Tobramycin,32,0,0.155,Rep1,ZC2005,
Acidic,Tobramycin,32,0,0.153,Rep1,ZC2005,
Acidic,Tobramycin,64,0,0.155,Rep1,ZC2005,
Acidic,Tobramycin,64,0,0.155,Rep1,ZC2005,
Acidic,Tobramycin,64,0,0.155,Rep1,ZC2005,
Neutral,Tobramycin,0,0,0.157,Rep1,ZC2005,
Neutral,Tobramycin,0,0,0.155,Rep1,ZC2005,
Neutral,Tobramycin,0,0,0.154,Rep1,ZC2005,
Neutral,Tobramycin,16,0,0.156,Rep1,ZC2005,
Neutral,Tobramycin,16,0,0.157,Rep1,ZC2005,
Neutral,Tobramycin,16,0,0.156,Rep1,ZC2005,
Neutral,Tobramycin,32,0,0.155,Rep1,ZC2005,
Neutral,Tobramycin,32,0,0.156,Rep1,ZC2005,
Neutral,Tobramycin,32,0,0.154,Rep1,ZC2005,
Neutral,Tobramycin,64,0,0.155,Rep1,ZC2005,
Neutral,Tobramycin,64,0,0.154,Rep1,ZC2005,
Neutral,Tobramycin,64,0,0.153,Rep1,ZC2005,
Basic,Tobramycin,0,0,0.157,Rep1,ZC2005,
Basic,Tobramycin,0,0,0.16,Rep1,ZC2005,
Basic,Tobramycin,0,0,0.16,Rep1,ZC2005,
Basic,Tobramycin,16,0,0.16,Rep1,ZC2005,
Basic,Tobramycin,16,0,0.16,Rep1,ZC2005,
Basic,Tobramycin,16,0,0.161,Rep1,ZC2005,
Basic,Tobramycin,32,0,0.158,Rep1,ZC2005,
Basic,Tobramycin,32,0,0.165,Rep1,ZC2005,
Basic,Tobramycin,32,0,0.156,Rep1,ZC2005,
Basic,Tobramycin,64,0,0.159,Rep1,ZC2005,
Basic,Tobramycin,64,0,0.163,Rep1,ZC2005,
Basic,Tobramycin,64,0,0.164,Rep1,ZC2005,
Acidic,Meropenem,0,48,1.434,Rep2,ZC2005,
Acidic,Meropenem,0,48,1.389,Rep2,ZC2005,
Acidic,Meropenem,0,48,1.353,Rep2,ZC2005,
Acidic,Meropenem,64,48,0.518,Rep2,ZC2005,
Acidic,Meropenem,64,48,0.518,Rep2,ZC2005,
Acidic,Meropenem,64,48,0.577,Rep2,ZC2005,
Acidic,Meropenem,128,48,0.381,Rep2,ZC2005,
Acidic,Meropenem,128,48,0.426,Rep2,ZC2005,
Acidic,Meropenem,128,48,0.448,Rep2,ZC2005,
Acidic,Meropenem,256,48,0.386,Rep2,ZC2005,
Acidic,Meropenem,256,48,0.355,Rep2,ZC2005,
Acidic,Meropenem,256,48,0.426,Rep2,ZC2005,
Neutral,Meropenem,0,48,1.569,Rep2,ZC2005,
Neutral,Meropenem,0,48,1.49,Rep2,ZC2005,
Neutral,Meropenem,0,48,1.386,Rep2,ZC2005,
Neutral,Meropenem,64,48,0.834,Rep2,ZC2005,
Neutral,Meropenem,64,48,0.799,Rep2,ZC2005,
Neutral,Meropenem,64,48,0.684,Rep2,ZC2005,
Neutral,Meropenem,128,48,0.657,Rep2,ZC2005,
Neutral,Meropenem,128,48,0.587,Rep2,ZC2005,
Neutral,Meropenem,128,48,0.57,Rep2,ZC2005,
Neutral,Meropenem,256,48,0.515,Rep2,ZC2005,
Neutral,Meropenem,256,48,0.502,Rep2,ZC2005,
Neutral,Meropenem,256,48,0.513,Rep2,ZC2005,
Basic,Meropenem,0,48,1.351,Rep2,ZC2005,
Basic,Meropenem,0,48,1.361,Rep2,ZC2005,
Basic,Meropenem,0,48,1.416,Rep2,ZC2005,
Basic,Meropenem,64,48,1.288,Rep2,ZC2005,
Basic,Meropenem,64,48,1.172,Rep2,ZC2005,
Basic,Meropenem,64,48,1.015,Rep2,ZC2005,
Basic,Meropenem,128,48,0.562,Rep2,ZC2005,
Basic,Meropenem,128,48,0.553,Rep2,ZC2005,
Basic,Meropenem,128,48,0.658,Rep2,ZC2005,
Basic,Meropenem,256,48,0.621,Rep2,ZC2005,
Basic,Meropenem,256,48,0.632,Rep2,ZC2005,
Basic,Meropenem,256,48,0.667,Rep2,ZC2005,
Acidic,Meropenem,0,48,1.203,Rep1,ZC2005,
Acidic,Meropenem,0,48,1.201,Rep1,ZC2005,
Acidic,Meropenem,0,48,1.248,Rep1,ZC2005,
Acidic,Meropenem,64,48,0.503,Rep1,ZC2005,
Acidic,Meropenem,64,48,0.584,Rep1,ZC2005,
Acidic,Meropenem,64,48,0.576,Rep1,ZC2005,
Acidic,Meropenem,128,48,0.439,Rep1,ZC2005,
Acidic,Meropenem,128,48,0.445,Rep1,ZC2005,
Acidic,Meropenem,128,48,0.485,Rep1,ZC2005,
Acidic,Meropenem,256,48,0.417,Rep1,ZC2005,
Acidic,Meropenem,256,48,0.438,Rep1,ZC2005,
Acidic,Meropenem,256,48,0.48,Rep1,ZC2005,
Neutral,Meropenem,0,48,1.028,Rep1,ZC2005,
Neutral,Meropenem,0,48,1.491,Rep1,ZC2005,
Neutral,Meropenem,0,48,1.33,Rep1,ZC2005,
Neutral,Meropenem,64,48,0.63,Rep1,ZC2005,
Neutral,Meropenem,64,48,0.608,Rep1,ZC2005,
Neutral,Meropenem,64,48,0.662,Rep1,ZC2005,
Neutral,Meropenem,128,48,0.585,Rep1,ZC2005,
Neutral,Meropenem,128,48,0.618,Rep1,ZC2005,
Neutral,Meropenem,128,48,0.574,Rep1,ZC2005,
Neutral,Meropenem,256,48,0.536,Rep1,ZC2005,
Neutral,Meropenem,256,48,0.517,Rep1,ZC2005,
Neutral,Meropenem,256,48,0.534,Rep1,ZC2005,
